"","X29","X29.1","X29.2","X25","X29.3","X25.1","X26","X21","X29.4","X21.1","X21.2","X21.3","X29.5","X29.6","X29.7","X21.4","X21.5","X25.2","X21.6","X24","X29.8","DOC.CLASS"
"25",22,21,22,17,21,16,16,14,22,15,15,12,20,20,21,16,13,17,14,15,17,"tabloid"
"26",38,37,38,24,37,24,22,23,38,34,34,33,35,35,37,34,33,24,23,24,35,"tabloid"
"27",15,15,15,13,15,13,11,12,15,14,14,11,15,15,15,14,11,13,12,13,12,"tabloid"
"28",17,14,17,15,15,15,14,13,17,13,13,13,13,12,14,13,13,15,13,15,14,"tabloid"
"29",13,13,13,12,13,12,12,12,13,12,12,11,12,12,13,12,11,12,12,11,11,"tabloid"
"30",20,20,20,18,20,17,18,17,20,15,15,15,20,20,20,15,15,18,17,17,20,"tabloid"
"31",17,17,17,16,17,15,13,15,17,16,16,16,17,17,17,16,16,16,15,15,17,"tabloid"
"32",11,11,11,9,11,10,10,9,10,8,7,7,10,10,11,7,7,9,9,10,9,"tabloid"
"33",18,16,18,14,17,14,14,12,18,14,14,13,15,15,16,15,13,14,12,14,14,"tabloid"
"34",39,38,39,31,38,21,24,19,38,33,31,31,35,35,38,31,31,30,19,20,33,"tabloid"
"35",17,16,17,17,17,16,16,11,17,12,12,10,16,16,16,12,10,17,11,16,14,"tabloid"
"36",30,29,30,23,29,24,24,21,30,26,26,23,29,29,29,26,23,23,21,23,26,"tabloid"
"37",17,16,17,15,17,12,14,13,17,16,16,16,16,16,16,16,16,15,12,12,17,"tabloid"
"38",28,27,28,27,27,24,24,24,28,21,21,18,27,26,26,21,18,27,24,22,23,"tabloid"
"39",80,77,80,68,77,54,59,60,80,60,58,45,70,70,77,58,45,68,59,52,56,"tabloid"
"40",25,23,25,19,24,20,21,19,25,20,20,16,21,20,22,20,16,19,19,20,17,"tabloid"
"41",17,16,17,17,16,15,15,12,17,15,15,15,16,16,16,15,15,17,12,15,16,"tabloid"
"42",18,17,18,12,17,12,14,14,17,15,14,13,16,16,17,14,13,12,14,12,14,"tabloid"
"43",17,16,17,14,16,14,15,13,17,15,15,14,16,16,16,15,14,14,13,12,15,"tabloid"
"44",21,21,21,19,21,20,20,21,21,19,18,17,21,21,21,18,17,19,21,20,20,"tabloid"
"45",17,17,17,14,17,15,14,13,16,13,12,11,15,15,17,12,11,14,13,15,13,"tabloid"
"46",12,11,12,11,12,11,11,8,12,10,10,10,11,11,11,10,10,11,8,10,12,"tabloid"
"47",37,37,36,27,37,27,23,22,36,34,34,31,35,35,37,34,31,26,22,27,33,"tabloid"
"48",33,30,33,27,32,25,26,26,33,28,28,27,30,30,30,28,27,27,26,22,29,"tabloid"
"49",14,13,14,11,14,11,11,10,14,12,12,10,13,13,13,12,10,11,10,11,11,"tabloid"
"50",13,13,13,13,13,13,13,13,13,10,10,10,13,13,13,10,10,13,13,13,13,"tabloid"
"51",22,20,22,16,21,12,11,14,22,18,18,17,19,19,20,18,17,16,14,12,18,"tabloid"
